Question ID,Question Title,Question Slug,Question Text,Topic Tagged text,Difficulty Level,Success Rate,total submission,total accepted,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text
174,Dungeon Game,dungeon-game,"The demons had captured the princess and imprisoned her in the bottom-right corner of a dungeon. The dungeon consists of m x n rooms laid out in a 2D grid. Our valiant knight was initially positioned in the top-left room and must fight his way through dungeon to rescue the princess. The knight has an initial health point represented by a positive integer. If at any point his health point drops to 0 or below, he dies immediately. Some of the rooms are guarded by demons (represented by negative integers), so the knight loses health upon entering these rooms; other rooms are either empty (represented as 0) or contain magic orbs that increase the knight's health (represented by positive integers). To reach the princess as quickly as possible, the knight decides to move only rightward or downward in each step. Return the knight's minimum initial health so that he can rescue the princess. Note that any room can contain threats or power-ups, even the first room the knight enters and the bottom-right room where the princess is imprisoned. ","Array,Dynamic Programming,Matrix",Hard,36.4,465945,169797,3977,80,,"62,64,741,2354","Unique Paths,Minimum Path Sum,Cherry Pickup,Minimum Health to Beat Game"
175,Combine Two Tables,combine-two-tables,"Table: Person  Table: Address  Write an SQL query to report the first name, last name, city, and state of each person in the Person table. If the address of a personId is not present in the Address table, report null instead. Return the result table in any order. The query result format is in the following example. ",Database,Easy,70.0,745530,521526,1864,185,,577,Employee Bonus
176,Second Highest Salary,second-highest-salary,"Table: Employee  Write an SQL query to report the second highest salary from the Employee table. If there is no second highest salary, the query should report null. The query result format is in the following example. ",Database,Medium,35.2,1311546,462069,1761,703,,,
177,Nth Highest Salary,nth-highest-salary,"Table: Employee  Write an SQL query to report the nth highest salary from the Employee table. If there is no nth highest salary, the query should report null. The query result format is in the following example. ",Database,Medium,36.0,646344,232809,1024,646,,2336,The Number of Users That Are Eligible for Discount
178,Rank Scores,rank-scores,Table: Scores  Write an SQL query to rank the scores. The ranking should be calculated according to the following rules: Return the result table ordered by score in descending order. The query result format is in the following example. ,Database,Medium,57.3,384697,220318,1282,204,,,
179,Largest Number,largest-number,"Given a list of non-negative integers nums, arrange them such that they form the largest number and return it. Since the result may be very large, so you need to return a string instead of an integer. ","String,Greedy,Sorting",Medium,32.8,950354,312186,4751,400,,2284,Smallest Value of the Rearranged Number
180,Consecutive Numbers,consecutive-numbers,Table: Logs  Write an SQL query to find all numbers that appear at least three times consecutively. Return the result table in any order. The query result format is in the following example. ,Database,Medium,45.6,405173,184561,971,187,,,
181,Employees Earning More Than Their Managers,employees-earning-more-than-their-managers,Table: Employee  Write an SQL query to find the employees who earn more than their managers. Return the result table in any order. The query result format is in the following example. ,Database,Easy,66.2,528367,349741,1341,152,,,
182,Duplicate Emails,duplicate-emails,Table: Person  Write an SQL query to report all the duplicate emails. Return the result table in any order. The query result format is in the following example. ,Database,Easy,68.8,500539,344202,1034,46,,,
183,Customers Who Never Order,customers-who-never-order,Table: Customers  Table: Orders  Write an SQL query to report all customers who never order anything. Return the result table in any order. The query result format is in the following example. ,Database,Easy,62.8,528374,332018,906,72,,,
184,Department Highest Salary,department-highest-salary,Table: Employee  Table: Department  Write an SQL query to find employees who have the highest salary in each of the departments. Return the result table in any order. The query result format is in the following example. ,Database,Medium,46.7,464334,216861,1076,163,,1214,Highest Grade For Each Student
185,Department Top Three Salaries,department-top-three-salaries,Table: Employee  Table: Department  A company's executives are interested in seeing who earns the most money in each of the company's departments. A high earner in a department is an employee who has a salary in the top three unique salaries for that department. Write an SQL query to find the employees who are high earners in each of the departments. Return the result table in any order. The query result format is in the following example. ,Database,Hard,46.9,348161,163363,1055,181,,,
186,Reverse Words in a String II,reverse-words-in-a-string-ii,,"Two Pointers,String",Medium,50.9,259329,131874,840,127,,"151,189","Reverse Words in a String,Rotate Array"
187,Repeated DNA Sequences,repeated-dna-sequences,"The DNA sequence is composed of a series of nucleotides abbreviated as 'A', 'C', 'G', and 'T'. When studying DNA, it is useful to identify repeated sequences within the DNA. Given a string s that represents a DNA sequence, return all the 10-letter-long sequences (substrings) that occur more than once in a DNA molecule. You may return the answer in any order. ","Hash Table,String,Bit Manipulation,Sliding Window,Rolling Hash,Hash Function",Medium,44.6,587059,261815,1945,406,,,
188,Best Time to Buy and Sell Stock IV,best-time-to-buy-and-sell-stock-iv,"You are given an integer array prices where prices[i] is the price of a given stock on the ith day, and an integer k. Find the maximum profit you can achieve. You may complete at most k transactions. Note: You may not engage in multiple transactions simultaneously (i.e., you must sell the stock before you buy again). ","Array,Dynamic Programming",Hard,33.5,716430,239980,3790,152,,"121,122,123","Best Time to Buy and Sell Stock,Best Time to Buy and Sell Stock II,Best Time to Buy and Sell Stock III"
189,Rotate Array,rotate-array,"Given an array, rotate the array to the right by k steps, where k is non-negative. ","Array,Math,Two Pointers",Medium,38.5,2796554,1077386,9117,1268,"The easiest solution would use additional memory and that is perfectly fine. The actual trick comes when trying to solve this problem without using any additional memory. This means you need to use the original array somehow to move the elements around. Now, we can place each element in its original location and shift all the elements around it to adjust as that would be too costly and most likely will time out on larger input arrays. One line of thought is based on reversing the array (or parts of it) to obtain the desired result. Think about how reversal might potentially help us out by using an example. The other line of thought is a tad bit complicated but essentially it builds on the idea of placing each element in its original position while keeping track of the element originally in that position. Basically, at every step, we place an element in its rightful position and keep track of the element already there or the one being overwritten in an additional variable. We can't do this in one linear pass and the idea here is based on cyclic-dependencies between elements.","61,186","Rotate List,Reverse Words in a String II"
190,Reverse Bits,reverse-bits,Reverse bits of a given 32 bits unsigned integer. Note: ,"Divide and Conquer,Bit Manipulation",Easy,48.6,944361,459430,2939,789,,"7,191,2238","Reverse Integer,Number of 1 Bits,A Number After a Double Reversal"
191,Number of 1 Bits,number-of-1-bits,Write a function that takes an unsigned integer and returns the number of '1' bits it has (also known as the Hamming weight). Note: ,Bit Manipulation,Easy,60.2,1157530,697346,2922,785,,"190,231,338,401,461,693,767","Reverse Bits,Power of Two,Counting Bits,Binary Watch,Hamming Distance,Binary Number with Alternating Bits,Prime Number of Set Bits in Binary Representation"
192,Word Frequency,word-frequency,"Write a bash script to calculate the frequency of each word in a text file words.txt. For simplicity sake, you may assume: Example: Assume that words.txt has the following content: Your script should output the following, sorted by descending frequency: Note:",Shell,Medium,25.6,143923,36852,362,239,,347,Top K Frequent Elements
193,Valid Phone Numbers,valid-phone-numbers,"Given a text file file.txt that contains a list of phone numbers (one per line), write a one-liner bash script to print all valid phone numbers. You may assume that a valid phone number must appear in one of the following two formats: (xxx) xxx-xxxx or xxx-xxx-xxxx. (x means a digit) You may also assume each line in the text file must not contain leading or trailing white spaces. Example: Assume that file.txt has the following content: Your script should output the following valid phone numbers:",Shell,Easy,25.8,213440,55140,265,704,,,
194,Transpose File,transpose-file,"Given a text file file.txt, transpose its content. You may assume that each row has the same number of columns, and each field is separated by the ' ' character. Example: If file.txt has the following content: Output the following:",Shell,Medium,25.0,72692,18204,105,241,,,
195,Tenth Line,tenth-line,"Given a text file file.txt, print just the 10th line of the file. Example: Assume that file.txt has the following content: Your script should output the tenth line, which is:",Shell,Easy,32.9,220761,72559,259,336,,,
196,Delete Duplicate Emails,delete-duplicate-emails,"Table: Person  Write an SQL query to delete all the duplicate emails, keeping only one unique email with the smallest id. Note that you are supposed to write a DELETE statement and not a SELECT one. Return the result table in any order. The query result format is in the following example. ",Database,Easy,51.9,408492,211951,62,18,,,
197,Rising Temperature,rising-temperature,Table: Weather  Write an SQL query to find all dates' Id with higher temperatures compared to its previous dates (yesterday). Return the result table in any order. The query result format is in the following example. ,Database,Easy,42.4,511091,216573,849,349,,,
198,House Robber,house-robber,"You are a professional robber planning to rob houses along a street. Each house has a certain amount of money stashed, the only constraint stopping you from robbing each of them is that adjacent houses have security systems connected and it will automatically contact the police if two adjacent houses were broken into on the same night. Given an integer array nums representing the amount of money of each house, return the maximum amount of money you can rob tonight without alerting the police. ","Array,Dynamic Programming",Medium,47.0,2334058,1098090,11854,255,,"152,213,256,276,337,600,656,740,2262","Maximum Product Subarray,House Robber II,Paint House,Paint Fence,House Robber III,Non-negative Integers without Consecutive Ones,Coin Path,Delete and Earn,Solving Questions With Brainpower"
199,Binary Tree Right Side View,binary-tree-right-side-view,"Given the root of a binary tree, imagine yourself standing on the right side of it, return the values of the nodes you can see ordered from top to bottom. ","Tree,Depth-First Search,Breadth-First Search,Binary Tree",Medium,59.5,1098642,653709,6288,337,,"116,545","Populating Next Right Pointers in Each Node,Boundary of Binary Tree"
200,Number of Islands,number-of-islands,"Given an m x n 2D binary grid grid which represents a map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically. You may assume all four edges of the grid are all surrounded by water. ","Array,Depth-First Search,Breadth-First Search,Union Find,Matrix",Medium,53.8,2825342,1518896,13254,320,,"130,286,305,323,694,695,2035,2103","Surrounded Regions,Walls and Gates,Number of Islands II,Number of Connected Components in an Undirected Graph,Number of Distinct Islands,Max Area of Island,Count Sub Islands,Find All Groups of Farmland"
201,Bitwise AND of Numbers Range,bitwise-and-of-numbers-range,"Given two integers left and right that represent the range [left, right], return the bitwise AND of all numbers in this range, inclusive. ",Bit Manipulation,Medium,41.8,510983,213336,2225,176,,,
202,Happy Number,happy-number,"Write an algorithm to determine if a number n is happy. A happy number is a number defined by the following process: Return true if n is a happy number, and false if not. ","Hash Table,Math,Two Pointers",Easy,53.1,1496471,795194,5193,694,,"141,258,263,2076","Linked List Cycle,Add Digits,Ugly Number,Sum of Digits of String After Convert"
203,Remove Linked List Elements,remove-linked-list-elements,"Given the head of a linked list and an integer val, remove all the nodes of the linked list that has Node.val == val, and return the new head. ","Linked List,Recursion",Easy,43.4,1582236,686326,4794,162,,"27,237,2216","Remove Element,Delete Node in a Linked List,Delete the Middle Node of a Linked List"
204,Count Primes,count-primes,"Given an integer n, return the number of prime numbers that are strictly less than n. ","Array,Math,Enumeration,Number Theory",Medium,33.0,1819491,600270,4703,985,"Let's start with a isPrime function. To determine if a number is prime, we need to check if it is not divisible by any number less than n. The runtime complexity of isPrime function would be O(n) and hence counting the total prime numbers up to n would be O(n2). Could we do better? As we know the number must not be divisible by any number > n / 2, we can immediately cut the total iterations half by dividing only up to n / 2. Could we still do better? Let's write down all of 12's factors:

2 × 6 = 12
3 × 4 = 12
4 × 3 = 12
6 × 2 = 12

As you can see, calculations of 4 × 3 and 6 × 2 are not necessary. Therefore, we only need to consider factors up to √n because, if n is divisible by some number p, then n = p × q and since p ≤ q, we could derive that p ≤ √n.
Our total runtime has now improved to O(n1.5), which is slightly better. Is there a faster approach?

public int countPrimes(int n) {
   int count = 0;
   for (int i = 1; i < n; i++) {
      if (isPrime(i)) count++;
   }
   return count;
}

private boolean isPrime(int num) {
   if (num <= 1) return false;
   // Loop's ending condition is i * i <= num instead of i <= sqrt(num)
   // to avoid repeatedly calling an expensive function sqrt().
   for (int i = 2; i * i <= num; i++) {
      if (num % i == 0) return false;
   }
   return true;
} The Sieve of Eratosthenes is one of the most efficient ways to find all prime numbers up to n. But don't let that name scare you, I promise that the concept is surprisingly simple.


Sieve of Eratosthenes: algorithm steps for primes below 121. ""Sieve of Eratosthenes Animation"" by SKopp is licensed under CC BY 2.0.

We start off with a table of n numbers. Let's look at the first number, 2. We know all multiples of 2 must not be primes, so we mark them off as non-primes. Then we look at the next number, 3. Similarly, all multiples of 3 such as 3 × 2 = 6, 3 × 3 = 9, ... must not be primes, so we mark them off as well. Now we look at the next number, 4, which was already marked off. What does this tell you? Should you mark off all multiples of 4 as well? 4 is not a prime because it is divisible by 2, which means all multiples of 4 must also be divisible by 2 and were already marked off. So we can skip 4 immediately and go to the next number, 5. Now, all multiples of 5 such as 5 × 2 = 10, 5 × 3 = 15, 5 × 4 = 20, 5 × 5 = 25, ... can be marked off. There is a slight optimization here, we do not need to start from 5 × 2 = 10. Where should we start marking off? In fact, we can mark off multiples of 5 starting at 5 × 5 = 25, because 5 × 2 = 10 was already marked off by multiple of 2, similarly 5 × 3 = 15 was already marked off by multiple of 3. Therefore, if the current number is p, we can always mark off multiples of p starting at p2, then in increments of p: p2 + p, p2 + 2p, ... Now what should be the terminating loop condition? It is easy to say that the terminating loop condition is p < n, which is certainly correct but not efficient. Do you still remember Hint #3? Yes, the terminating loop condition can be p < √n, as all non-primes ≥ √n must have already been marked off. When the loop terminates, all the numbers in the table that are non-marked are prime.
The Sieve of Eratosthenes uses an extra O(n) memory and its runtime complexity is O(n log log n). For the more mathematically inclined readers, you can read more about its algorithm complexity on Wikipedia.

public int countPrimes(int n) {
   boolean[] isPrime = new boolean[n];
   for (int i = 2; i < n; i++) {
      isPrime[i] = true;
   }
   // Loop's ending condition is i * i < n instead of i < sqrt(n)
   // to avoid repeatedly calling an expensive function sqrt().
   for (int i = 2; i * i < n; i++) {
      if (!isPrime[i]) continue;
      for (int j = i * i; j < n; j += i) {
         isPrime[j] = false;
      }
   }
   int count = 0;
   for (int i = 2; i < n; i++) {
      if (isPrime[i]) count++;
   }
   return count;
}","263,264,279","Ugly Number,Ugly Number II,Perfect Squares"
205,Isomorphic Strings,isomorphic-strings,"Given two strings s and t, determine if they are isomorphic. Two strings s and t are isomorphic if the characters in s can be replaced to get t. All occurrences of a character must be replaced with another character while preserving the order of characters. No two characters may map to the same character, but a character may map to itself. ","Hash Table,String",Easy,42.1,1160012,487870,3435,638,,290,Word Pattern
206,Reverse Linked List,reverse-linked-list,"Given the head of a singly linked list, reverse the list, and return the reversed list. ","Linked List,Recursion",Easy,70.1,2927119,2052205,11446,199,,"92,156,234,2196,2236","Reverse Linked List II,Binary Tree Upside Down,Palindrome Linked List,Reverse Nodes in Even Length Groups,Maximum Twin Sum of a Linked List"
207,Course Schedule,course-schedule,"There are a total of numCourses courses you have to take, labeled from 0 to numCourses - 1. You are given an array prerequisites where prerequisites[i] = [ai, bi] indicates that you must take course bi first if you want to take course ai. Return true if you can finish all courses. Otherwise, return false. ","Depth-First Search,Breadth-First Search,Graph,Topological Sort",Medium,45.0,1871795,842989,9007,362,"This problem is equivalent to finding if a cycle exists in a directed graph. If a cycle exists, no topological ordering exists and therefore it will be impossible to take all courses. Topological Sort via DFS - A great video tutorial (21 minutes) on Coursera explaining the basic concepts of Topological Sort. Topological sort could also be done via BFS.","210,261,310,630","Course Schedule II,Graph Valid Tree,Minimum Height Trees,Course Schedule III"
208,Implement Trie (Prefix Tree),implement-trie-prefix-tree,"A trie (pronounced as ""try"") or prefix tree is a tree data structure used to efficiently store and retrieve keys in a dataset of strings. There are various applications of this data structure, such as autocomplete and spellchecker. Implement the Trie class: ","Hash Table,String,Design,Trie",Medium,57.9,977633,566500,6810,90,,"211,642,648,676,1433,1949","Design Add and Search Words Data Structure,Design Search Autocomplete System,Replace Words,Implement Magic Dictionary,Encrypt and Decrypt Strings,Implement Trie II (Prefix Tree)"
209,Minimum Size Subarray Sum,minimum-size-subarray-sum,"Given an array of positive integers nums and a positive integer target, return the minimal length of a contiguous subarray [numsl, numsl+1, ..., numsr-1, numsr] of which the sum is greater than or equal to target. If there is no such subarray, return 0 instead. ","Array,Binary Search,Sliding Window,Prefix Sum",Medium,43.2,1177660,508413,6324,185,,"76,325,718,1776,2211,2329","Minimum Window Substring,Maximum Size Subarray Sum Equals k,Maximum Length of Repeated Subarray,Minimum Operations to Reduce X to Zero,K Radius Subarray Averages,Maximum Product After K Increments"
210,Course Schedule II,course-schedule-ii,"There are a total of numCourses courses you have to take, labeled from 0 to numCourses - 1. You are given an array prerequisites where prerequisites[i] = [ai, bi] indicates that you must take course bi first if you want to take course ai. Return the ordering of courses you should take to finish all courses. If there are many valid answers, return any of them. If it is impossible to finish all courses, return an empty array. ","Depth-First Search,Breadth-First Search,Graph,Topological Sort",Medium,46.4,1304440,605688,6464,232,"This problem is equivalent to finding the topological order in a directed graph. If a cycle exists, no topological ordering exists and therefore it will be impossible to take all courses. Topological Sort via DFS - A great video tutorial (21 minutes) on Coursera explaining the basic concepts of Topological Sort. Topological sort could also be done via BFS.","207,269,310,444,630,1101,2220","Course Schedule,Alien Dictionary,Minimum Height Trees,Sequence Reconstruction,Course Schedule III,Parallel Courses,Find All Possible Recipes from Given Supplies"
211,Design Add and Search Words Data Structure,design-add-and-search-words-data-structure,Design a data structure that supports adding new words and finding if a string matches any previously added string. Implement the WordDictionary class:  Example:  Constraints:,"String,Depth-First Search,Design,Trie",Medium,44.0,896587,394265,4757,198,"You should be familiar with how a Trie works. If not, please work on this problem: Implement Trie (Prefix Tree) first.","208,746","Implement Trie (Prefix Tree),Prefix and Suffix Search"
212,Word Search II,word-search-ii,"Given an m x n board of characters and a list of strings words, return all words on the board. Each word must be constructed from letters of sequentially adjacent cells, where adjacent cells are horizontally or vertically neighboring. The same letter cell may not be used more than once in a word. ","Array,String,Backtracking,Trie,Matrix",Hard,38.1,1120097,426210,5820,213,"You would need to optimize your backtracking to pass the larger test. Could you stop backtracking earlier? If the current candidate does not exist in all words' prefix, you could stop backtracking immediately. What kind of data structure could answer such query efficiently? Does a hash table work? Why or why not? How about a Trie? If you would like to learn how to implement a basic trie, please work on this problem: Implement Trie (Prefix Tree) first.","79,1022,1433","Word Search,Unique Paths III,Encrypt and Decrypt Strings"
213,House Robber II,house-robber-ii,"You are a professional robber planning to rob houses along a street. Each house has a certain amount of money stashed. All houses at this place are arranged in a circle. That means the first house is the neighbor of the last one. Meanwhile, adjacent houses have a security system connected, and it will automatically contact the police if two adjacent houses were broken into on the same night. Given an integer array nums representing the amount of money of each house, return the maximum amount of money you can rob tonight without alerting the police. ","Array,Dynamic Programming",Medium,39.8,960606,382370,5261,91,"Since House[1] and House[n] are adjacent, they cannot be robbed together. Therefore, the problem becomes to rob either House[1]-House[n-1] or House[2]-House[n], depending on which choice offers more money. Now the problem has degenerated to the House Robber, which is already been solved.","198,256,276,337,600,656","House Robber,Paint House,Paint Fence,House Robber III,Non-negative Integers without Consecutive Ones,Coin Path"
214,Shortest Palindrome,shortest-palindrome,You are given a string s. You can convert s to a palindrome by adding characters in front of it. Return the shortest palindrome you can find by performing this transformation. ,"String,Rolling Hash,String Matching,Hash Function",Hard,31.7,425047,134927,2322,187,,"5,28,336","Longest Palindromic Substring,Implement strStr(),Palindrome Pairs"
215,Kth Largest Element in an Array,kth-largest-element-in-an-array,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in the sorted order, not the kth distinct element. ","Array,Divide and Conquer,Sorting,Heap (Priority Queue),Quickselect",Medium,63.3,2021242,1279643,8917,480,,"324,347,414,789,1014,2113,2204,2250","Wiggle Sort II,Top K Frequent Elements,Third Maximum Number,Kth Largest Element in a Stream,K Closest Points to Origin,Find the Kth Largest Integer in the Array,Find Subsequence of Length K With the Largest Sum,K Highest Ranked Items Within a Price Range"
216,Combination Sum III,combination-sum-iii,"Find all valid combinations of k numbers that sum up to n such that the following conditions are true: Return a list of all possible valid combinations. The list must not contain the same combination twice, and the combinations may be returned in any order. ","Array,Backtracking",Medium,63.9,444760,284155,2739,74,,39,Combination Sum
217,Contains Duplicate,contains-duplicate,"Given an integer array nums, return true if any value appears at least twice in the array, and return false if every element is distinct. ","Array,Hash Table,Sorting",Easy,60.7,2443511,1483087,4378,943,,"219,220","Contains Duplicate II,Contains Duplicate III"
218,The Skyline Problem,the-skyline-problem,"A city's skyline is the outer contour of the silhouette formed by all the buildings in that city when viewed from a distance. Given the locations and heights of all the buildings, return the skyline formed by these buildings collectively. The geometric information of each building is given in the array buildings where buildings[i] = [lefti, righti, heighti]: You may assume all buildings are perfect rectangles grounded on an absolutely flat surface at height 0. The skyline should be represented as a list of ""key points"" sorted by their x-coordinate in the form [[x1,y1],[x2,y2],...]. Each key point is the left endpoint of some horizontal segment in the skyline except the last point in the list, which always has a y-coordinate 0 and is used to mark the skyline's termination where the rightmost building ends. Any ground between the leftmost and rightmost buildings should be part of the skyline's contour. Note: There must be no consecutive horizontal lines of equal height in the output skyline. For instance, [...,[2 3],[4 5],[7 5],[11 5],[12 7],...] is not acceptable; the three lines of height 5 should be merged into one in the final output as such: [...,[2 3],[4 5],[12 7],...] ","Array,Divide and Conquer,Binary Indexed Tree,Segment Tree,Line Sweep,Heap (Priority Queue),Ordered Set",Hard,38.6,528556,204234,3745,198,,699,Falling Squares
219,Contains Duplicate II,contains-duplicate-ii,"Given an integer array nums and an integer k, return true if there are two distinct indices i and j in the array such that nums[i] == nums[j] and abs(i - j) <= k. ","Array,Hash Table,Sliding Window",Easy,40.6,1107769,450207,2368,1847,,"217,220","Contains Duplicate,Contains Duplicate III"
220,Contains Duplicate III,contains-duplicate-iii,"Given an integer array nums and two integers k and t, return true if there are two distinct indices i and j in the array such that abs(nums[i] - nums[j]) <= t and abs(i - j) <= k. ","Array,Sliding Window,Sorting,Bucket Sort,Ordered Set",Medium,21.7,920049,199738,2264,2212,"Time complexity O(n logk)  - This will give an indication that sorting is involved for k elements. Use already existing state to evaluate next state  -  Like, a set of k sorted numbers are only needed to be tracked. When we are processing the next number in array, then we can utilize the existing sorted state and it is not necessary to sort next overlapping set of k numbers again.","217,219","Contains Duplicate,Contains Duplicate II"
221,Maximal Square,maximal-square,"Given an m x n binary matrix filled with 0's and 1's, find the largest square containing only 1's and return its area. ","Array,Dynamic Programming,Matrix",Medium,43.4,1116716,484269,7011,145,,"85,769,1312,2200","Maximal Rectangle,Largest Plus Sign,Count Artifacts That Can Be Extracted,Stamping the Grid"
222,Count Complete Tree Nodes,count-complete-tree-nodes,"Given the root of a complete binary tree, return the number of the nodes in the tree. According to Wikipedia, every level, except possibly the last, is completely filled in a complete binary tree, and all nodes in the last level are as far left as possible. It can have between 1 and 2h nodes inclusive at the last level h. Design an algorithm that runs in less than O(n) time complexity. ","Binary Search,Tree,Depth-First Search,Binary Tree",Medium,55.1,719342,396136,4722,312,,270,Closest Binary Search Tree Value
223,Rectangle Area,rectangle-area,"Given the coordinates of two rectilinear rectangles in a 2D plane, return the total area covered by the two rectangles. The first rectangle is defined by its bottom-left corner (ax1, ay1) and its top-right corner (ax2, ay2). The second rectangle is defined by its bottom-left corner (bx1, by1) and its top-right corner (bx2, by2). ","Math,Geometry",Medium,40.1,337644,135232,745,1008,,866,Rectangle Overlap
224,Basic Calculator,basic-calculator,"Given a string s representing a valid expression, implement a basic calculator to evaluate it, and return the result of the evaluation. Note: You are not allowed to use any built-in function which evaluates strings as mathematical expressions, such as eval(). ","Math,String,Stack,Recursion",Hard,40.5,713024,288485,3519,291,,"150,227,241,282,785,2147,2328","Evaluate Reverse Polish Notation,Basic Calculator II,Different Ways to Add Parentheses,Expression Add Operators,Basic Calculator III,The Score of Students Solving Math Expression,Minimize Result by Adding Parentheses to Expression"
225,Implement Stack using Queues,implement-stack-using-queues,"Implement a last-in-first-out (LIFO) stack using only two queues. The implemented stack should support all the functions of a normal stack (push, top, pop, and empty). Implement the MyStack class: Notes: ","Stack,Design,Queue",Easy,52.5,552169,290064,2028,782,,232,Implement Queue using Stacks
226,Invert Binary Tree,invert-binary-tree,"Given the root of a binary tree, invert the tree, and return its root. ","Tree,Depth-First Search,Breadth-First Search,Binary Tree",Easy,71.4,1394634,995662,8061,110,,,
227,Basic Calculator II,basic-calculator-ii,"Given a string s which represents an expression, evaluate this expression and return its value. The integer division should truncate toward zero. You may assume that the given expression is always valid. All intermediate results will be in the range of [-231, 231 - 1]. Note: You are not allowed to use any built-in function which evaluates strings as mathematical expressions, such as eval(). ","Math,String,Stack",Medium,41.5,1006227,417714,4208,553,,"224,282,785","Basic Calculator,Expression Add Operators,Basic Calculator III"
228,Summary Ranges,summary-ranges,"You are given a sorted unique integer array nums. A range [a,b] is the set of all integers from a to b (inclusive). Return the smallest sorted list of ranges that cover all the numbers in the array exactly. That is, each element of nums is covered by exactly one of the ranges, and there is no integer x such that x is in one of the ranges but not in nums. Each range [a,b] in the list should be output as: ",Array,Easy,46.3,629144,291499,2035,1147,,"163,352","Missing Ranges,Data Stream as Disjoint Intervals"
229,Majority Element II,majority-element-ii,"Given an integer array of size n, find all elements that appear more than ⌊ n/3 ⌋ times. ","Array,Hash Table,Sorting,Counting",Medium,42.2,667653,282018,4680,277,"How many majority elements could it possibly have?

Do you have a better hint? Suggest it!","169,1102","Majority Element,Check If a Number Is Majority Element in a Sorted Array"
230,Kth Smallest Element in a BST,kth-smallest-element-in-a-bst,"Given the root of a binary search tree, and an integer k, return the kth smallest value (1-indexed) of all the values of the nodes in the tree. ","Tree,Depth-First Search,Binary Search Tree,Binary Tree",Medium,66.6,1100066,732943,6137,123,Try to utilize the property of a BST. Try in-order traversal. (Credits to @chan13) What if you could modify the BST node's structure? The optimal runtime complexity is O(height of BST).,"94,671","Binary Tree Inorder Traversal,Second Minimum Node In a Binary Tree"
231,Power of Two,power-of-two,"Given an integer n, return true if it is a power of two. Otherwise, return false. An integer n is a power of two, if there exists an integer x such that n == 2x. ","Math,Bit Manipulation,Recursion",Easy,44.9,1354147,608583,3100,288,,"191,326,342","Number of 1 Bits,Power of Three,Power of Four"
232,Implement Queue using Stacks,implement-queue-using-stacks,"Implement a first in first out (FIFO) queue using only two stacks. The implemented queue should support all the functions of a normal queue (push, peek, pop, and empty). Implement the MyQueue class: Notes: ","Stack,Design,Queue",Easy,57.9,682866,395580,3210,218,,225,Implement Stack using Queues
233,Number of Digit One,number-of-digit-one,"Given an integer n, count the total number of digit 1 appearing in all non-negative integers less than or equal to n. ","Math,Dynamic Programming,Recursion",Hard,33.5,190665,63889,704,1022,Beware of overflow.,"172,1068","Factorial Trailing Zeroes,Digit Count in Range"
234,Palindrome Linked List,palindrome-linked-list,"Given the head of a singly linked list, return true if it is a palindrome. ","Linked List,Two Pointers,Stack,Recursion",Easy,46.5,2014641,935997,8563,523,,"9,125,206,2236","Palindrome Number,Valid Palindrome,Reverse Linked List,Maximum Twin Sum of a Linked List"
235,Lowest Common Ancestor of a Binary Search Tree,lowest-common-ancestor-of-a-binary-search-tree,"Given a binary search tree (BST), find the lowest common ancestor (LCA) of two given nodes in the BST. According to the definition of LCA on Wikipedia: “The lowest common ancestor is defined between two nodes p and q as the lowest node in T that has both p and q as descendants (where we allow a node to be a descendant of itself).” ","Tree,Depth-First Search,Binary Search Tree,Binary Tree",Easy,56.8,1282701,729126,5455,182,,"236,1190,1780,1790,1816","Lowest Common Ancestor of a Binary Tree,Smallest Common Region,Lowest Common Ancestor of a Binary Tree II,Lowest Common Ancestor of a Binary Tree III,Lowest Common Ancestor of a Binary Tree IV"
236,Lowest Common Ancestor of a Binary Tree,lowest-common-ancestor-of-a-binary-tree,"Given a binary tree, find the lowest common ancestor (LCA) of two given nodes in the tree. According to the definition of LCA on Wikipedia: “The lowest common ancestor is defined between two nodes p and q as the lowest node in T that has both p and q as descendants (where we allow a node to be a descendant of itself).” ","Tree,Depth-First Search,Binary Tree",Medium,55.2,1755028,967969,9393,272,,"235,1190,1354,1780,1790,1816,2217","Lowest Common Ancestor of a Binary Search Tree,Smallest Common Region,Find Players With Zero or One Losses,Lowest Common Ancestor of a Binary Tree II,Lowest Common Ancestor of a Binary Tree III,Lowest Common Ancestor of a Binary Tree IV,Step-By-Step Directions From a Binary Tree Node to Another"
237,Delete Node in a Linked List,delete-node-in-a-linked-list,"Write a function to delete a node in a singly-linked list. You will not be given access to the head of the list, instead you will be given access to the node to be deleted directly. It is guaranteed that the node to be deleted is not a tail node in the list. ",Linked List,Easy,71.7,1093877,784762,4258,11520,,203,Remove Linked List Elements
238,Product of Array Except Self,product-of-array-except-self,"Given an integer array nums, return an array answer such that answer[i] is equal to the product of all the elements of nums except nums[i]. The product of any prefix or suffix of nums is guaranteed to fit in a 32-bit integer. You must write an algorithm that runs in O(n) time and without using the division operation. ","Array,Prefix Sum",Medium,63.9,1754180,1120129,11850,724,,"42,152,265,2267","Trapping Rain Water,Maximum Product Subarray,Paint House II,Minimum Difference in Sums After Removal of Elements"
